ip_addr,port,ip version,end point,count,sum of frame size,packet/s,Throughput,
158.108.123.229,20480,0,0,17659.0,1074048.0,294.316666666667,17900.8,
158.108.148.171,47873,0,0,13178.0,792239.0,219.633333333333,13203.9833333333,
202.170.115.80,48168,0,0,11635.0,16793775.0,193.916666666667,279896.25,
158.108.210.123,11058,0,1,11635.0,16793775.0,193.916666666667,279896.25,
158.108.133.64,64049,0,0,10973.0,16000446.0,182.883333333333,266674.1,
180.183.184.89,985,0,1,10973.0,16000446.0,182.883333333333,266674.1,
202.129.205.94,48168,0,0,10286.0,14852984.0,171.433333333333,247549.733333333,
158.108.210.123,24734,0,1,10286.0,14852984.0,171.433333333333,247549.733333333,
158.108.210.123,11058,0,0,9447.0,606835.0,157.45,10113.9166666667,
202.170.115.80,48168,0,1,9447.0,606835.0,157.45,10113.9166666667,
158.108.210.123,24734,0,0,8506.0,542493.0,141.766666666667,9041.55,
202.129.205.94,48168,0,1,8506.0,542493.0,141.766666666667,9041.55,
158.108.193.44,20480,0,0,8023.0,509388.0,133.716666666667,8489.8,
74.125.213.240,11304,0,0,7521.0,10658748.0,125.35,177645.8,
158.108.245.110,47873,0,1,7521.0,10658748.0,125.35,177645.8,
74.125.213.210,19396,0,0,7351.0,10392412.0,122.516666666667,173206.866666667,
158.108.140.94,47873,0,1,7351.0,10392412.0,122.516666666667,173206.866666667,
158.108.109.116,20480,0,0,7270.0,487124.0,121.166666666667,8118.73333333333,
180.183.184.89,985,0,0,7183.0,469255.0,119.716666666667,7820.91666666667,
158.108.133.64,64049,0,1,7183.0,469255.0,119.716666666667,7820.91666666667,
158.108.181.15,10821,0,0,7138.0,9427398.0,118.966666666667,157123.3,
223.205.63.20,26843,0,1,7138.0,9427398.0,118.966666666667,157123.3,
158.108.117.43,33285,0,0,6699.0,403404.0,111.65,6723.4,
202.129.205.38,6125,0,1,6699.0,403404.0,111.65,6723.4,
158.108.193.88,20480,0,0,6622.0,397344.0,110.366666666667,6622.4,
101.109.111.123,20480,0,1,6254.0,8994761.0,104.233333333333,149912.683333333,
158.108.235.50,20480,0,0,5416.0,347017.0,90.2666666666667,5783.61666666667,
58.8.76.103,20480,0,0,5272.0,377932.0,87.8666666666667,6298.86666666667,
158.108.117.43,16388,0,0,5238.0,316280.0,87.3,5271.33333333333,
202.129.205.38,5869,0,1,5238.0,316280.0,87.3,5271.33333333333,
158.108.210.46,47873,0,0,4879.0,292740.0,81.3166666666667,4879.0,
61.19.12.40,11209,0,1,4879.0,292740.0,81.3166666666667,4879.0,
202.129.205.38,6125,0,0,4715.0,5774238.0,78.5833333333333,96237.3,
158.108.117.43,33285,0,1,4715.0,5774238.0,78.5833333333333,96237.3,
158.108.98.84,20480,0,0,4532.0,437523.0,75.5333333333333,7292.05,
158.108.40.177,43085,0,0,4513.0,6602721.0,75.2166666666667,110045.35,
180.183.55.251,11761,0,1,4513.0,6602721.0,75.2166666666667,110045.35,
101.109.111.123,20480,0,0,4512.0,360512.0,75.2,6008.53333333333,
158.108.119.91,20480,0,0,4403.0,275940.0,73.3833333333333,4599.0,
158.108.98.214,20544,0,0,4374.0,262440.0,72.9,4374.0,
158.108.4.243,11268,0,0,4325.0,5991059.0,72.0833333333333,99850.9833333333,
58.64.51.10,43524,0,1,4325.0,5991059.0,72.0833333333333,99850.9833333333,
118.174.103.7,20480,0,1,4209.0,6061983.0,70.15,101033.05,
158.108.205.126,20480,0,0,4166.0,380171.0,69.4333333333333,6336.18333333333,
202.28.41.7,20480,0,0,4147.0,278001.0,69.1166666666667,4633.35,
158.108.216.17,56063,0,1,4147.0,278001.0,69.1166666666667,4633.35,
158.108.37.180,51241,0,0,3958.0,5781096.0,65.9666666666667,96351.6,
171.5.250.230,16345,0,1,3958.0,5781096.0,65.9666666666667,96351.6,
158.108.134.83,47873,0,0,3955.0,4942568.0,65.9166666666667,82376.1333333333,
207.46.101.12,48363,0,1,3938.0,4938252.0,65.6333333333333,82304.2,
158.108.193.111,20480,0,0,3899.0,250921.0,64.9833333333333,4182.01666666667,
202.28.85.15,52169,0,1,3898.0,254506.0,64.9666666666667,4241.76666666667,
223.205.63.20,26843,0,0,3798.0,439024.0,63.3,7317.06666666667,
158.108.181.15,10821,0,1,3798.0,439024.0,63.3,7317.06666666667,
158.108.228.133,22336,0,0,3754.0,225240.0,62.5666666666667,3754.0,
158.108.133.123,20480,0,0,3717.0,562101.0,61.95,9368.35,
61.19.12.40,46020,0,1,3604.0,216240.0,60.0666666666667,3604.0,
158.108.4.227,31839,0,0,3577.0,5099431.0,59.6166666666667,84990.5166666667,
125.25.210.235,43524,0,1,3577.0,5099431.0,59.6166666666667,84990.5166666667,
158.108.234.247,20480,0,1,3552.0,5198848.0,59.2,86647.4666666667,
110.164.180.144,60635,0,0,3541.0,5198188.0,59.0166666666667,86636.4666666667,
158.108.47.82,10829,0,0,3515.0,5182348.0,58.5833333333333,86372.4666666667,
110.77.215.112,22897,0,1,3515.0,5182348.0,58.5833333333333,86372.4666666667,
158.108.118.155,20480,0,0,3337.0,248252.0,55.6166666666667,4137.53333333333,
158.108.83.239,20480,0,0,3335.0,207160.0,55.5833333333333,3452.66666666667,
202.28.85.15,51657,0,1,3303.0,217060.0,55.05,3617.66666666667,
158.108.219.162,5991,0,0,3264.0,4741111.0,54.4,79018.5166666667,
223.27.214.2,45419,0,0,3263.0,4772281.0,54.3833333333333,79538.0166666667,
158.108.101.30,52085,0,1,3263.0,4772281.0,54.3833333333333,79538.0166666667,
158.108.142.146,20480,0,0,3217.0,197290.0,53.6166666666667,3288.16666666667,
158.108.14.137,20480,0,0,3176.0,190560.0,52.9333333333333,3176.0,
74.125.102.8,61961,0,1,3054.0,190300.0,50.9,3171.66666666667,
158.108.181.46,43246,0,0,2935.0,1225790.0,48.9166666666667,20429.8333333333,
59.29.231.70,32489,0,1,2935.0,1225790.0,48.9166666666667,20429.8333333333,
158.108.192.150,15629,0,0,2848.0,187088.0,47.4666666666667,3118.13333333333,
158.108.234.247,20480,0,0,2776.0,166560.0,46.2666666666667,2776.0,
158.108.141.99,20480,0,0,2770.0,167391.0,46.1666666666667,2789.85,
158.108.111.182,20480,0,0,2764.0,180552.0,46.0666666666667,3009.2,
110.164.180.144,60635,0,1,2757.0,165420.0,45.95,2757.0,
158.108.245.119,20480,0,0,2746.0,219373.0,45.7666666666667,3656.21666666667,
61.19.12.41,53188,0,1,2745.0,164700.0,45.75,2745.0,
158.108.131.2,20480,0,1,2719.0,3773728.0,45.3166666666667,62895.4666666667,
158.108.108.226,20480,0,0,2712.0,167770.0,45.2,2796.16666666667,
202.28.85.12,49356,0,1,2712.0,167770.0,45.2,2796.16666666667,
158.108.117.191,20480,0,0,2703.0,209693.0,45.05,3494.88333333333,
158.108.118.54,47873,0,0,2702.0,225339.0,45.0333333333333,3755.65,
202.129.205.38,5869,0,0,2692.0,3264172.0,44.8666666666667,54402.8666666667,
158.108.117.43,16388,0,1,2692.0,3264172.0,44.8666666666667,54402.8666666667,
158.108.147.63,47873,0,0,2675.0,415759.0,44.5833333333333,6929.31666666667,
27.55.165.3,20480,0,1,2635.0,3693660.0,43.9166666666667,61561.0,
118.174.103.7,20480,0,0,2623.0,246376.0,43.7166666666667,4106.26666666667,
158.108.148.139,20480,0,0,2620.0,158080.0,43.6666666666667,2634.66666666667,
202.28.85.79,2499,0,1,2620.0,158080.0,43.6666666666667,2634.66666666667,
158.108.119.62,20480,0,0,2611.0,167178.0,43.5166666666667,2786.3,
74.125.96.242,47816,0,1,2611.0,167178.0,43.5166666666667,2786.3,
202.28.85.14,23250,0,1,2603.0,163998.0,43.3833333333333,2733.3,
59.29.231.70,32489,0,0,2585.0,3052985.0,43.0833333333333,50883.0833333333,
